 포티스,141020,108
 지스마트글로벌,114570,117
 씨케이에이치,900120,199
 이에스브이,223310,235
 골든센츄리,900280,278
 스킨앤스킨,159910,279
 에스앤씨엔진그룹,900080,304
 크루셜텍,114120,310
 로스웰,900260,325
 아이엠텍,226350,330
 디오스텍,196450,343
 엔시트론,101400,353
 코디엠,224060,360
 디젠스,113810,429
 썸에이지,208640,431
 매직마이크로,127160,460
 데일리블록체인,139050,491
 한류AI센터,222810,500
 한일진공,123840,554
 글로벌에스엠,900070,568
 SGA솔루션즈,184230,573
 에이프로젠 H&G,109960,584
 헝셩그룹,900270,593
 에이비프로바이오,195990,594
 지엘팜텍,204840,671
 스타모빌리티,158310,674
 MP한강,219550,693
 에스엔텍비엠,160600,695
 아이엠,101390,700
 디지탈옵틱,106520,736
 상상인인더스트리,101000,790
 우리이앤엘,153490,792
 넥스트아이,137940,810
 엔터메이트,206400,831
 토박스코리아,215480,834
 에스디시스템,121890,851
 오가닉티코스메틱,900300,863
 코리아에스이,101670,868
 케이사인,192250,870
 액션스퀘어,205500,871
 화신정공,126640,876
 대성파인텍,104040,921
 패션플랫폼,225590,926
 한송네오텍,226440,948
 켐온,217600,960
 디에이테크놀로지,196490,967
 세미콘라이트,214310,969
 퓨쳐스트림네트웍스,214270,989
 크리스탈신소재,900250,1010
 코이즈,121850,1020
 시큐브,131090,1030
 컬러레이,900310,1100
 유니맥스글로벌,215090,1130
 와이제이엠게임즈,193250,1130
 디딤,217620,1165
 쎄노텍,222420,1170
 네오셈,253590,1180
 디알텍,214680,1180
 지엔원에너지,270520,1195
 SG,255220,1215
 윙입푸드,900340,1220
 마이크로텍,227950,1225
 딜리,131180,1250
 인산가,277410,1255
 맥스로텍,141070,1255
 아이엘사이언스,307180,1270
 소프트캠프,258790,1275
 웹스,196700,1275
 아시아경제,127710,1295
 애니플러스,310200,1300
 서플러스글로벌,140070,1300
 흥국에프엔비,189980,1300
 나노,187790,1300
 GRT,900290,1370
 러셀,217500,1370
 영우디에스피,143540,1400
 삼본전자,111870,1400
 그리티,204020,1405
 서진오토모티브,122690,1410
 디엠티,134580,1435
 바이오로그디바이스,208710,1485
 삼기오토모티브,122350,1485
 파인텍,131760,1490
 자비스,254120,1515
 시스웍,269620,1550
 대창스틸,140520,1550
 이랜시스,264850,1555
 드림시큐리티,203650,1570
 모비스,250060,1580
 티케이케미칼,104480,1590
 TS인베스트먼트,246690,1600
 장원테크,174880,1600
 씨유메디칼,115480,1600
 휴마시스,205470,1605
 피제이메탈,128660,1605
 동부스팩5호,281740,1625
 정다운,208140,1625
 동양파일,228340,1650
 육일씨엔에쓰,191410,1650
 한국비엔씨,256840,1655
 네온테크,306620,1660
 알로이스,297570,1695
 솔루에타,154040,1695
 THE MIDONG,161570,1740
 티피씨글로벌,130740,1750
 교보7호스팩,267320,1770
 동국S&C,100130,1775
 신화콘텍,187270,1805
 고려시멘트,198440,1880
 에코캡,128540,1900
 유테크,178780,1900
 SV인베스트먼트,289080,1935
 DSC인베스트먼트,241520,1960
 에이치엔티,176440,1990
 대신밸런스제7호스팩,332290,2000
 알이피,131100,2000
 코리아에프티,123410,2000
 SK6호스팩,340350,2005
 케이비제20호스팩,342550,2005
 유안타제5호스팩,336060,2005
 신한제6호스팩,333050,2005
 유진스팩5호,331380,2005
 상상인이안제2호스팩,329560,2005
 케이비제18호스팩,323940,2005
 유진스팩4호,321260,2005
 하이제5호스팩,340120,2010
 대신밸런스제8호스팩,336570,2010
 SK5호스팩,337450,2010
 케이비제19호스팩,330990,2010
 미래에셋대우스팩3호,328380,2010
 이베스트이안스팩1호,323210,2010
 신한제5호스팩,323230,2010
 삼성스팩2호,291230,2010
 세화피앤씨,252500,2010
 신영스팩6호,344050,2015
 유안타제6호스팩,340360,2015
 IBKS제11호스팩,335890,2015
 미래에셋대우스팩4호,333430,2015
 엔에이치스팩14호,319400,2015
 한국제7호스팩,291210,2015
 하나금융15호스팩,341160,2020
 한화플러스제1호스팩,340440,2020
 교보9호스팩,331520,2020
 케이비17호스팩,317030,2020
 상상인이안1호스팩,307870,2020
 엔에이치스팩15,339950,2025
 신영스팩5호,323280,2025
 유안타제4호스팩,313750,2025
 엔에이치스팩13호,310840,2025
 한국제8호스팩,310870,2025
 대신밸런스제6호스팩,307750,2025
 DB금융스팩7호,322780,2030
 키움제5호스팩,311270,2030
 SK4호스팩,307070,2030
 교보8호스팩,307280,2035
 IBKS제10호스팩,299170,2040
 한국제6호스팩,281410,2040
 신한제4호스팩,277480,2040
 켐트로스,220260,2040
 큐브엔터,182360,2040
 삼성머스트스팩3호,309930,2045
 하나머스트제6호스팩,307160,2045
 한화에이스스팩4호,279410,2045
 하이제4호스팩,317240,2050
 포메탈,119500,2050
 유안타제3호스팩,287410,2055
 IBKS제7호스팩,276920,2060
 IBKS제12호스팩,335870,2065
 지티지웰니스,219750,2070
 지니틱스,303030,2070
 이미지스,115610,2070
 미래에셋벤처투자,100790,2085
 유니온커뮤니티,203450,2095
 하림,136480,2100
 세원,234100,2105
 화이브라더스코리아,204630,2125
 예선테크,250930,2130
 케이엠제약,225430,2175
 윈하이텍,192390,2190
 에스앤더블류,103230,2200
 서남,294630,2220
 미래생명자원,218150,2260
 본느,226340,2265
 상신전자,263810,2275
 이엑스티,226360,2390
 해마로푸드서비스,220630,2400
 베셀,177350,2400
 로보로보,215100,2400
 셀바스헬스케어,208370,2400
 뉴로스,126870,2455
 코프라,126600,2470
 핸디소프트,220180,2495
 이엠넷,123570,2495
 엑셈,205100,2500
 세운메디칼,100700,2520
 우림기계,101170,2530
 엠아이텍,179290,2560
 포인트엔지니어링,256630,2560
 한화에스비아이스팩,317320,2585
 린드먼아시아,277070,2615
 테라셈,182690,2645
 하나금융11호스팩,284620,2650
 자이글,234920,2675
 글로벌텍스프리,204620,2690
 오스테오닉,226400,2705
 나무기술,242040,2720
 와이아이케이,232140,2720
 조이맥스,101730,2720
 서전기전,189860,2730
 모베이스,101330,2730
 케이씨에스,115500,2745
 마이크로프랜드,147760,2765
 엑세스바이오,950130,2780
 디엔에이링크,127120,2780
 유에스티,263770,2785
 파인테크닉스,106240,2815
 제너셈,217190,2820
 NEW,160550,2835
 제닉,123330,2845
 우양,103840,2850
 휴네시온,290270,2850
 모트렉스,118990,2855
 줌인터넷,239340,2860
 우노앤컴퍼니,114630,2900
 태웅로직스,124560,2920
 지엔씨에너지,119850,2920
 골프존뉴딘홀딩스,121440,2945
 퓨전,195440,2955
 네오오토,212560,2965
 데이타솔루션,263800,2970
 아시아종묘,154030,2985
 KG ETS,151860,2990
 프로스테믹스,203690,3020
 이노인스트루먼트,215790,3025
 GH신소재,130500,3030
 이즈미디어,181340,3060
 강원,114190,3060
 삼강엠앤티,100090,3065
 서암기계공업,100660,3100
 제노포커스,187420,3135
 엔지스테크널러지,208860,3150
 파수닷컴,150900,3150
 네오펙트,290660,3230
 하이로닉,149980,3255
 뉴파워프라즈마,144960,3270
 제이엔케이히터,126880,3275
 디지캡,197140,3290
 인터파크,108790,3295
 아이에이네트웍스,123010,3300
 대모,317850,3320
 앤디포스,238090,3320
 지니언스,263860,3330
 알서포트,131370,3330
 휴맥스,115160,3350
 파버나인,177830,3370
 위지윅스튜디오,299900,3390
 하이즈항공,221840,3430
 잉글우드랩,950140,3440
 인트로메딕,150840,3440
 현대공업,170030,3450
 나노스,151910,3450
 샘코,263540,3460
 씨아이에스,222080,3460
 나우IB,293580,3525
 에스피시스템스,317830,3590
 보광산업,225530,3600
 메가엠디,133750,3645
 진매트릭스,109820,3690
 에스와이,109610,3700
 NHN벅스,104200,3730
 제이씨케미칼,137950,3775
 텔콘RF제약,200230,3780
 블러썸엠앤씨,263920,3785
 캐리소프트,317530,3800
 제룡산업,147830,3800
 에스트래픽,234300,3830
 에스디생명공학,217480,3845
 넵튠,217270,3850
 아스타,246720,3900
 인화정공,101930,3910
 케이엔더블유,105330,3925
 미디어젠,279600,3955
 유니트론텍,142210,3980
 트루윈,105550,3985
 피앤씨테크,237750,4025
 한국맥널티,222980,4090
 씨엠에스에듀,225330,4125
 디케이앤디,263020,4200
 하이셈,200470,4200
 JTC,950170,4215
 대한과학,131220,4255
 녹십자엠에스,142280,4270
 한국바이오젠,318000,4300
 엠에스오토텍,123040,4300
 코스맥스엔비티,222040,4325
 에스에스알,275630,4350
 링크제니시스,219420,4400
 램테크놀러지,171010,4410
 전진바이오팜,110020,4455
 지란지교시큐리티,208350,4460
 액트,131400,4500
 솔트웍스,230980,4550
 신진에스엠,138070,4560
 코리아에셋투자증권,190650,4605
 제이엘케이인스펙션,322510,4610
 덱스터,206560,4640
 알파홀딩스,117670,4655
 네오크레마,311390,4660
 타이거일렉,219130,4740
 엔바이오니아,317870,4750
 아우딘퓨쳐스,227610,4765
 아이원스,114810,4790
 미투온,201490,4800
 컴퍼니케이,307930,4810
 바이오리더스,142760,4845
 선익시스템,171090,4850
 켄코아에어로스페이스,274090,4890
 KMH,122450,4910
 네이블커뮤니케이션즈,153460,4915
 KPX생명과학,114450,4945
 아이티센,124500,4955
 케이엔제이,272110,4990
 비덴트,121800,5050
 쎄미시스코,136510,5150
 포시에스,189690,5160
 디알젬,263690,5250
 디티앤씨,187220,5260
 유바이오로직스,206650,5280
 이퓨쳐,134060,5300
 아이텍,119830,5330
 키네마스터,139670,5450
 인포마크,175140,5540
 세종메디칼,258830,5590
 에프엔씨엔터,173940,5600
 옵티시스,109080,5760
 데브시스터즈,194480,5790
 씨앤지하이테크,264660,5800
 AP위성,211270,5880
 파이오링크,170790,5890
 덕우전자,263600,5900
 미스터블루,207760,5900
 씨에스베어링,297090,5950
 마니커에프앤지,195500,5950
 팬젠,222110,5980
 아바텍,149950,5980
 옵티팜,153710,6000
 디에이치피코리아,131030,6060
 아이진,185490,6070
 브이원텍,251630,6120
 강스템바이오텍,217730,6130
 우정바이오,215380,6130
 라이온켐텍,171120,6130
 와이엠씨,155650,6130
 엘아이에스,138690,6200
 알에스오토메이션,140670,6230
 디자인,227100,6280
 제로투세븐,159580,6300
 월덱스,101160,6310
 오파스넷,173130,6350
 엔에스,217820,6350
 이노테라피,246960,6380
 라닉스,317120,6390
 티로보틱스,117730,6450
 우리넷,115440,6450
 머큐리,100590,6470
 예스티,122640,6470
 씨큐브,101240,6520
 스타플렉스,115570,6530
 보라티알,250000,6540
 비디아이,148140,6580
 윌링스,313760,6620
 미래테크놀로지,213090,6720
 그린플러스,186230,6790
 디케이락,105740,6800
 넷게임즈,225570,6910
 에이텍티앤,224110,7000
 어보브반도체,102120,7000
 디아이티,110990,7020
 베스파,299910,7060
 플레이디,237820,7100
 비아트론,141000,7100
 엔케이맥스,182400,7280
 나이스디앤비,130580,7280
 대유에이피,290120,7300
 EDGC,245620,7410
 애니젠,196300,7440
 코스메카코리아,241710,7440
 디에스케이,109740,7470
 엘티씨,170920,7550
 하이텍팜,106190,7700
 까스텔바작,308100,7790
 로보티즈,108490,7800
 SBI핀테크솔루션즈,950110,7800
 신테카바이오,226330,7850
 녹십자웰빙,234690,7880
 나이벡,138610,7920
 싸이맥스,160980,7990
 제노레이,122310,8000
 피씨엘,241820,8010
 알엔투테크놀로지,148250,8100
 오션브릿지,241790,8140
 대유,290380,8250
 하이비젼시스템,126700,8250
 피엔티,137400,8340
 노랑풍선,104620,8430
 싸이토젠,217330,8510
 티앤알바이오팹,246710,8580
 유니테크노,241690,8660
 배럴,267790,8680
 디케이티,290550,8730
 알리코제약,260660,8780
 나노브릭,286750,8850
 씨티케이코스메틱스,260930,8850
 플리토,300080,8900
 메카로,241770,8970
 비즈니스온,138580,9030
 제이앤티씨,204270,9050
 삼양옵틱스,225190,9150
 에이스토리,241840,9200
 레이언스,228850,9200
 클래시스,214150,9230
 명성티엔에스,257370,9250
 액트로,290740,9390
 심텍,222800,9390
 톱텍,108230,9400
 노바텍,285490,9410
 티움바이오,321550,9450
 신라젠,215600,9550
 티에스이,131290,9560
 동양피엔에프,104460,9590
 티라유텍,322180,9600
 대양전기공업,108380,9600
 영화테크,265560,9630
 와이솔,122990,9660
 민앤지,214180,9670
 에이에프더블류,312610,9850
 레몬,294140,9900
 남화산업,111710,9900
 코리아센터,290510,9980
 바디텍메드,206640,10100
 동일금속,109860,10200
 팜스빌,318010,10300
 올리패스,244460,10300
 로고스바이오,238120,10400
 윈스,136540,10400
 뉴지랩,214870,10500
 아이스크림에듀,289010,10550
 아모그린텍,125210,10550
 수젠텍,253840,10750
 이노메트리,302430,10900
 유티아이,179900,10900
 야스,255440,10950
 필옵틱스,161580,11000
 케이디켐,221980,11000
 나노신소재,121600,11300
 대정화금,120240,11350
 펌텍코리아,251970,11450
 피앤이솔루션,131390,11550
 퓨쳐켐,220100,11600
 한독크린텍,256150,11700
 노터스,278650,11800
 라파스,214260,11800
 디바이스이엔지,187870,11800
 덕산테코피아,317330,11850
 마이크로디지탈,305090,12000
 코아스템,166480,12350
 테고사이언스,191420,12500
 나무가,190510,12900
 지노믹트리,228760,12950
 케어랩스,263700,13200
 이더블유케이,258610,13500
 하나머티리얼즈,166090,13800
 모바일리더,100030,13800
 슈프리마아이디,317770,14050
 SNK,950180,14500
 에이비엘바이오,298380,14600
 뉴트리,270870,14600
 에스퓨얼셀,288620,14600
 라온피플,300120,14700
 힘스,238490,14800
 한솔씨앤피,221610,14800
 휴메딕스,200670,14850
 에스앤에스텍,101490,14850
 선데이토즈,123420,15000
 셀리드,299660,15200
 비피도,238200,15400
 아이디스,143160,15550
 푸드나무,290720,15850
 아나패스,123860,16000
 인크로스,216050,16200
 비씨월드제약,200780,16200
 압타바이오,293780,16250
 메탈라이프,327260,16350
 크리스에프앤씨,110790,16350
 연우,115960,16650
 아톤,158430,16800
 아이쓰리시스템,214430,16800
 제테마,216080,17100
 큐리언트,115180,17250
 우리산업,215360,18000
 세틀뱅크,234340,18150
 코오롱생명과학,102940,18400
 엠플러스,259630,18450
 클리오,237880,18450
 인포바인,115310,18450
 와이엠티,251370,18900
 피에스케이,319660,19000
 위메이드,112040,19050
 디앤씨미디어,263720,19100
 유비쿼스,264450,19200
 아이큐어,175250,19800
 원익머트리얼즈,104830,20000
 다나와,119860,21100
 에코마케팅,230360,21400
 인터로조,119610,21500
 콜마비앤에이치,200130,21600
 노바렉스,194700,21650
 파멥신,208340,21850
 이엔에프테크놀로지,102710,21850
 지트리비앤티,115450,22000
 사람인에이치알,143240,22050
 서진시스템,178320,22150
 와이지엔터테인먼트,122870,22700
 코윈테크,282880,22800
 천랩,311690,23000
 대보마그네틱,290670,23000
 뷰웍스,100120,23100
 인텔리안테크,189300,23500
 올릭스,226950,24800
 세경하이테크,148150,24900
 AP시스템,265520,24900
 리메드,302550,25000
 케이피에스,256940,25700
 앱클론,174900,26450
 코미코,183300,26500
 원익IPS,240810,26500
 에이디테크놀로지,200710,26650
 에스티팜,237690,26700
 슈프리마,236200,27900
 SKC코오롱PI,178920,29400
 실리콘웍스,108320,30950
 신흥에스이씨,243840,32100
 덕산네오룩스,213420,32100
 브릿지바이오,288330,32350
 녹십자랩셀,144510,33200
 오이솔루션,138080,33400
 에치에프알,230240,34100
 파크시스템스,140860,34450
 슈피겐코리아,192440,35050
 파마리서치프로덕트,214450,35250
 이녹스첨단소재,272290,37150
 레이,228670,37500
 골프존,215000,37700
 메드팩토,235980,37800
 RFHIC,218410,37900
 레고켐바이오,141080,38300
 엘앤씨바이오,290650,38900
 에이치엘사이언스,239610,39900
 메가스터디교육,215200,41250
 휴온스,243070,41350
 에스제이그룹,306040,44100
 엔지켐생명과학,183490,47000
 유틸렉스,263050,47900
 셀리버리,268600,57900
 천보,278280,58900
 테스나,131970,59700
 스튜디오드래곤,253450,69300
 매일유업,267980,69400
 알테오젠,196170,69600
 에코프로비엠,247540,78100
 메지온,140410,116600
 펄어비스,263750,164200
 휴젤,145020,335100
